Change Document Object,Object Value,Document Number,User,Date,Time,Transaction Code,Change number,Document Number,Created from Planned,Change Flag for Application Object,Language Key,3-Byte field,Data Filter Value for Data Aging
SETS,01060001P0001,886531,SAP_WFRT,2/26/2019,4:39:14 PM,,,,,U,EN,000,
SETS,01060001P0001,886569,SAP_WFRT,2/26/2019,4:39:27 PM,,,,,U,EN,000,
SETS,01060001P0001,886570,SAP_WFRT,2/26/2019,4:39:27 PM,,,,,U,EN,000,
SETS,01060001P0001,886611,SAP_WFRT,2/26/2019,4:39:41 PM,,,,,U,EN,000,
SETS,01060001P0001,886612,SAP_WFRT,2/26/2019,4:39:41 PM,,,,,U,EN,000,
SETS,01060001P0001,886614,SAP_WFRT,2/26/2019,4:39:41 PM,,,,,U,EN,000,
SETS,01060001P0001,886639,SAP_WFRT,2/26/2019,4:39:50 PM,,,,,U,EN,000,
SETS,01060001P0001,886641,SAP_WFRT,2/26/2019,4:39:50 PM,,,,,U,EN,000,
SETS,01060001P0001,886642,SAP_WFRT,2/26/2019,4:39:50 PM,,,,,U,EN,000,
SETS,01060001P0001,886704,SAP_WFRT,2/26/2019,4:40:11 PM,,,,,U,EN,000,
SETS,01060001P0001,886705,SAP_WFRT,2/26/2019,4:40:11 PM,,,,,U,EN,000,
SETS,01060001P0001,886768,SAP_WFRT,2/26/2019,4:40:32 PM,,,,,U,EN,000,
SETS,01060001P0001,886770,SAP_WFRT,2/26/2019,4:40:32 PM,,,,,U,EN,000,
SETS,01060001P0001,886771,SAP_WFRT,2/26/2019,4:40:32 PM,,,,,U,EN,000,
SETS,01060001P0001,886779,SAP_WFRT,2/26/2019,4:40:35 PM,,,,,U,EN,000,
SETS,01060001P0001,886780,SAP_WFRT,2/26/2019,4:40:35 PM,,,,,U,EN,000,
SETS,01060001P0001,886794,SAP_WFRT,2/26/2019,4:40:40 PM,,,,,U,EN,000,
SETS,01060001P0001,886795,SAP_WFRT,2/26/2019,4:40:40 PM,,,,,U,EN,000,
SETS,01060001P0001,886848,SAP_WFRT,2/26/2019,4:40:58 PM,,,,,U,EN,000,
SETS,01060001P0001,886849,SAP_WFRT,2/26/2019,4:40:58 PM,,,,,U,EN,000,
SETS,01060001P0001,886851,SAP_WFRT,2/26/2019,4:40:58 PM,,,,,U,EN,000,
SETS,01060001P0001,886852,SAP_WFRT,2/26/2019,4:40:59 PM,,,,,U,EN,000,
SETS,01060001P0001,886854,SAP_WFRT,2/26/2019,4:40:59 PM,,,,,U,EN,000,
SETS,01060001P0001,886855,SAP_WFRT,2/26/2019,4:40:59 PM,,,,,U,EN,000,
SETS,01060001P0001,886863,SAP_WFRT,2/26/2019,4:41:02 PM,,,,,U,EN,000,
SETS,01060001P0001,886864,SAP_WFRT,2/26/2019,4:41:02 PM,,,,,U,EN,000,
SETS,01060001P0001,886869,SAP_WFRT,2/26/2019,4:41:04 PM,,,,,U,EN,000,
SETS,01060001P0001,886870,SAP_WFRT,2/26/2019,4:41:04 PM,,,,,U,EN,000,
SETS,01060001P0001,886902,SAP_WFRT,2/26/2019,4:41:15 PM,,,,,U,EN,000,
SETS,01060001P0001,886903,SAP_WFRT,2/26/2019,4:41:15 PM,,,,,U,EN,000,
SETS,01060001P0001,886905,SAP_WFRT,2/26/2019,4:41:15 PM,,,,,U,EN,000,
SETS,01060001P0001,886906,SAP_WFRT,2/26/2019,4:41:16 PM,,,,,U,EN,000,
SETS,01060001P0001,886908,SAP_WFRT,2/26/2019,4:41:16 PM,,,,,U,EN,000,
SETS,01060001P0001,886910,SAP_WFRT,2/26/2019,4:41:16 PM,,,,,U,EN,000,
SETS,01060001P0001,886918,SAP_WFRT,2/26/2019,4:41:19 PM,,,,,U,EN,000,
SETS,01060001P0001,886919,SAP_WFRT,2/26/2019,4:41:19 PM,,,,,U,EN,000,
SETS,01060001P0001,886921,SAP_WFRT,2/26/2019,4:41:20 PM,,,,,U,EN,000,
SETS,01060001P0001,886922,SAP_WFRT,2/26/2019,4:41:20 PM,,,,,U,EN,000,
SETS,01060001P0001,886933,SAP_WFRT,2/26/2019,4:41:24 PM,,,,,U,EN,000,
SETS,01060001P0001,886934,SAP_WFRT,2/26/2019,4:41:24 PM,,,,,U,EN,000,
SETS,01060001P0001,886948,SAP_WFRT,2/26/2019,4:41:29 PM,,,,,U,EN,000,
SETS,01060001P0001,886949,SAP_WFRT,2/26/2019,4:41:29 PM,,,,,U,EN,000,
SETS,01060001P0001,887032,SAP_WFRT,2/26/2019,4:41:54 PM,,,,,U,EN,000,
SETS,01060001P0001,887034,SAP_WFRT,2/26/2019,4:41:54 PM,,,,,U,EN,000,
SETS,01060001P0001,887035,SAP_WFRT,2/26/2019,4:41:54 PM,,,,,U,EN,000,
SETS,01060001P0001,887041,SAP_WFRT,2/26/2019,4:41:57 PM,,,,,U,EN,000,
SETS,01060001P0001,887043,SAP_WFRT,2/26/2019,4:41:57 PM,,,,,U,EN,000,
SETS,01060001P0001,887044,SAP_WFRT,2/26/2019,4:41:57 PM,,,,,U,EN,000,
